Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
18-12-10_19,0.0,1024.0,-10.0,-13.4,-6.3,-9.0,57.0,277.0,5.0
18-12-10_20,0.0,1026.0,-11.0,-13.4,-7.0,-9.0,60.0,231.0,3.0
18-12-10_21,0.0,1027.0,-11.0,-13.5,-7.5,-11.0,62.0,119.0,6.0
18-12-10_22,0.0,1027.0,-12.0,-14.1,-8.1,-13.0,62.0,126.0,11.0
18-12-10_23,0.0,1027.0,-12.0,-13.9,-8.1,-13.0,63.0,128.0,9.0
18-12-11_00,0.0,1027.0,-12.0,-13.4,-8.2,-13.0,66.0,130.0,10.0
18-12-11_01,0.0,1026.0,-12.0,-11.9,-8.1,-13.0,74.0,122.0,11.0
18-12-11_02,0.0,1026.0,-11.0,-12.7,-7.5,-11.0,66.0,171.0,6.0
18-12-11_03,0.0,1026.0,-11.0,-12.1,-7.8,-11.0,71.0,203.0,6.0
18-12-11_04,0.0,1026.0,-11.0,-12.6,-7.4,-11.0,66.0,175.0,6.0
18-12-11_05,0.0,1026.0,-12.0,-10.9,-8.1,-12.0,80.0,128.0,7.0
18-12-11_06,0.0,1025.0,-12.0,-11.3,-8.2,-12.0,78.0,122.0,8.0
18-12-11_07,0.0,1027.0,-12.0,-12.0,-8.4,-12.0,75.0,122.0,7.0
18-12-11_08,0.0,1028.0,-12.0,-11.4,-8.4,-12.0,79.0,111.0,7.0
18-12-11_09,0.0,1029.0,-12.0,-12.0,-8.7,-13.0,77.0,122.0,9.0
18-12-11_10,0.0,1028.0,-11.0,-11.1,-7.8,-12.0,77.0,122.0,8.0
18-12-11_11,0.0,1049.0,-10.0,-9.4,-6.2,-9.0,78.0,117.0,5.0
18-12-11_12,0.0,1027.0,-10.0,-9.7,-6.7,-10.0,79.0,84.0,7.0
18-12-11_13,0.0,1025.0,-9.0,-9.5,-6.0,-9.0,76.0,80.0,6.0
18-12-11_14,0.0,1023.0,-9.0,-8.7,-5.7,-10.0,79.0,79.0,9.0
18-12-11_15,0.34,1024.0,-9.0,-8.2,-5.5,-9.0,81.0,88.0,7.0
18-12-11_16,0.07,1023.0,-9.0,-7.7,-5.3,-8.0,83.0,81.0,6.0
18-12-11_17,0.21,1022.0,-9.0,-8.1,-5.8,-9.0,84.0,176.0,6.0
18-12-11_18,0.21,1023.0,-10.0,-8.4,-6.1,-9.0,84.0,152.0,6.0
18-12-11_19,0.21,1023.0,-10.0,-8.3,-6.2,-9.0,85.0,125.0,6.0
18-12-11_20,0.41,1022.0,-10.0,-8.5,-6.4,-10.0,85.0,156.0,7.0
18-12-11_21,0.21,1022.0,-10.0,-8.5,-6.4,-10.0,85.0,188.0,7.0
18-12-11_22,0.21,1023.0,-10.0,-9.0,-6.8,-10.0,84.0,227.0,7.0
18-12-11_23,0.0,1023.0,-11.0,-9.4,-7.0,-10.0,83.0,267.0,6.0
18-12-12_00,0.0,1021.0,-10.0,-9.0,-6.9,-10.0,85.0,282.0,6.0
18-12-12_01,0.14,1022.0,-11.0,-9.7,-7.3,-10.0,83.0,265.0,6.0
18-12-12_02,0.0,1023.0,-11.0,-9.9,-7.4,-11.0,82.0,290.0,6.0
18-12-12_03,0.0,1024.0,-11.0,-10.5,-7.7,-11.0,80.0,294.0,6.0
18-12-12_04,0.0,1022.0,-11.0,-10.4,-7.2,-10.0,78.0,271.0,5.0
18-12-12_05,0.0,1025.0,-11.0,-10.6,-7.1,-10.0,76.0,260.0,5.0
18-12-12_06,0.0,1026.0,-11.0,-11.1,-7.4,-10.0,75.0,293.0,5.0
18-12-12_07,0.0,1026.0,-12.0,-11.2,-7.9,-12.0,77.0,306.0,7.0
18-12-12_08,0.0,1028.0,-12.0,-12.9,-8.2,-13.0,69.0,260.0,9.0
18-12-12_09,0.0,1029.0,-12.0,-13.5,-8.5,-13.0,67.0,200.0,9.0
18-12-12_10,0.0,1030.0,-13.0,-15.9,-9.0,-15.0,57.0,144.0,12.0
18-12-12_11,0.0,1028.0,-12.0,-16.5,-8.7,-14.0,53.0,110.0,11.0
18-12-12_12,0.0,1031.0,-12.0,-16.2,-8.4,-13.0,53.0,160.0,9.0
18-12-12_13,0.0,1031.0,-12.0,-17.2,-8.4,-13.0,49.0,103.0,10.0
18-12-12_14,0.0,1031.0,-12.0,-17.7,-8.2,-13.0,46.0,122.0,11.0
18-12-12_15,0.0,1030.0,-12.0,-17.0,-7.9,-12.0,48.0,189.0,7.0
18-12-12_16,0.0,1032.0,-12.0,-15.7,-8.1,-13.0,54.0,89.0,9.0
18-12-12_17,0.0,1033.0,-12.0,-15.0,-8.5,-12.0,59.0,113.0,7.0
18-12-12_18,0.0,1034.0,-13.0,-16.3,-9.2,-14.0,56.0,93.0,8.0
18-12-12_19,0.0,1035.0,-14.0,-16.8,-9.7,-15.0,56.0,130.0,10.0
18-12-12_20,0.0,1035.0,-14.0,-15.8,-9.9,-15.0,62.0,125.0,9.0
18-12-12_21,0.0,1035.0,-15.0,-16.2,-10.6,-16.0,63.0,124.0,9.0
18-12-12_22,0.0,1036.0,-15.0,-15.8,-10.7,-15.0,66.0,123.0,7.0
18-12-12_23,0.0,1036.0,-15.0,-16.7,-10.9,-15.0,62.0,88.0,7.0
18-12-13_00,0.0,1037.0,-15.0,-16.7,-10.9,-14.0,62.0,79.0,5.0
18-12-13_01,0.0,1037.0,-16.0,-16.3,-11.4,-16.0,67.0,96.0,7.0
18-12-13_02,0.0,1038.0,-16.0,-15.8,-12.1,-17.0,74.0,69.0,9.0
18-12-13_03,0.0,1038.0,-17.0,-15.9,-12.7,-18.0,77.0,69.0,10.0
18-12-13_04,0.0,1038.0,-18.0,-17.4,-13.6,-20.0,73.0,64.0,11.0
18-12-13_05,0.0,1038.0,-18.0,-16.0,-13.8,-19.0,83.0,76.0,8.0
18-12-13_06,0.0,1038.0,-18.0,-16.0,-13.9,-17.0,84.0,83.0,5.0
18-12-13_07,0.0,1038.0,-18.0,-16.3,-13.9,-18.0,82.0,226.0,6.0
18-12-13_08,0.0,1039.0,-18.0,-16.0,-13.6,-18.0,82.0,147.0,7.0
18-12-13_09,0.0,1039.0,-17.0,-15.3,-12.9,-17.0,82.0,76.0,6.0
18-12-13_10,0.0,1038.0,-17.0,-14.9,-12.5,-16.0,82.0,157.0,6.0
18-12-13_11,0.0,1035.0,-16.0,-14.5,-11.9,-16.0,81.0,96.0,7.0
18-12-13_12,0.0,1038.0,-14.0,-14.5,-10.4,-14.0,72.0,126.0,7.0
18-12-13_13,0.0,1038.0,-14.0,-15.6,-9.7,-14.0,62.0,98.0,7.0
18-12-13_14,0.0,1038.0,-13.0,-15.2,-9.3,-14.0,62.0,123.0,9.0
18-12-13_15,0.0,1037.0,-13.0,-14.2,-9.0,-13.0,66.0,79.0,8.0
18-12-13_16,0.0,1036.0,-13.0,-15.0,-8.9,-14.0,61.0,205.0,9.0
18-12-13_17,0.0,1039.0,-12.0,-13.9,-8.7,-13.0,66.0,129.0,9.0
18-12-13_18,0.0,1039.0,-12.0,-13.0,-8.2,-12.0,68.0,104.0,8.0
18-12-13_19,0.0,1039.0,-12.0,-12.3,-8.0,-12.0,71.0,108.0,8.0
18-12-13_20,0.0,1035.0,-12.0,-12.7,-7.9,-11.0,68.0,107.0,6.0
18-12-13_21,0.0,1040.0,-11.0,-12.6,-7.4,-10.0,66.0,199.0,5.0
18-12-13_22,0.0,1040.0,-11.0,-11.2,-7.2,-10.0,73.0,128.0,5.0
18-12-13_23,0.0,1038.0,-10.0,-10.6,-6.8,-9.0,74.0,96.0,5.0
18-12-14_00,0.0,1037.0,-10.0,-9.9,-6.4,-8.0,76.0,174.0,3.0
18-12-14_01,0.0,1039.0,-10.0,-10.0,-6.3,-8.0,75.0,208.0,4.0
18-12-14_02,0.0,1039.0,-9.0,-9.0,-5.8,-8.0,78.0,117.0,4.0
18-12-14_03,0.0,1036.0,-9.0,-8.5,-5.4,-7.0,79.0,89.0,4.0
