,Prov,Nom de station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes,Tmax,Tmax90p,Tmin,Tmin10p,DG0
190,ON,HARROW,6130257,1917,4,2017,12,42.03,-82.9,182,Y,14.77011958532144,29.05333333333333,5.3889480923186746,-8.037333333333333,2655.173333334783
191,ON,KAPUSKASING,6073976,1918,1,2017,12,49.42,-82.47,227,Y,7.366738179005415,25.11466666666667,-3.8367354841929284,-24.43066666666666,1322.986666666667
192,ON,KENORA,6034076,1899,9,2017,12,49.78,-94.37,406,Y,7.753009307083864,25.186333333333337,-0.9199539137160966,-21.036333333333335,1885.6333333333337
193,ON,KINGSTON,6104142,1872,7,2017,12,44.22,-76.6,93,Y,,,,,
194,ON,LANSDOWNE HOUSE,6014353,1941,3,2017,12,52.23,-87.88,255,Y,,,,,
195,ON,LONDON,6144478,1883,3,2017,12,43.03,-81.15,278,Y,13.18388072959553,27.680000000000003,4.213575891409038,-9.208333333333334,2377.2266666666665
196,ON,MADAWASKA,6080192,1915,8,2017,12,45.5,-77.98,316,Y,,,,,
197,ON,MINE CENTRE,6025205,1915,2,2017,12,48.8,-92.6,361,Y,,,,,
198,ON,MOOSONEE,6075425,1892,10,2017,12,51.27,-80.65,10,Y,,,,,
199,ON,NORTH BAY,6085701,1925,1,2014,5,46.37,-79.42,370,Y,9.10699535893405,24.790999999999997,0.07177218853706621,-17.578333333333333,1833.5499999999997
200,ON,ORANGEVILLE,6155790,1887,1,2015,12,43.92,-80.08,412,Y,11.472795371503496,26.073333333333334,,,
201,ON,OTTAWA,6105976,1889,11,2017,12,45.38,-75.72,79,N,11.514805674080048,27.15366666666667,1.9678433016458874,-14.908666666666667,2149.210000000567
202,ON,PETERBOROUGH,6166415,1866,4,2017,12,44.23,-78.37,191,Y,12.213365907030067,26.766666666666662,0.4133507847667965,-14.738,1636.7599999999995
203,ON,PICKLE LAKE,6016529,1934,1,2016,6,51.45,-90.22,386,Y,5.710968372969944,24.493333333333332,-4.451624523005503,-25.84,1393.523333333333
204,ON,RIDGETOWN,6137154,1923,5,2017,12,42.45,-81.88,206,Y,13.713839109955211,27.948000000000004,4.2734346618053305,-9.004666666666667,2368.0966666672434
205,ON,SAULT STE MARIE,6057591,1945,6,2017,12,46.48,-84.52,192,Y,10.085160341342911,25.100333333333335,0.2664392294832447,-15.331666666666667,1648.6633333333332
206,ON,SIOUX LOOKOUT,6037776,1914,1,2017,12,50.12,-91.9,383,Y,7.366831563297052,25.19166666666667,-2.4558307347199615,-23.54466666666667,1634.91
207,ON,SUDBURY,6068153,1947,9,2017,12,46.62,-80.8,348,Y,9.251888764129053,25.506000000000004,-0.9277303690395987,-18.879,1655.6333333333337
208,ON,THUNDER BAY,6048260,1877,7,2017,12,48.37,-89.33,199,Y,9.179839730722744,25.183000000000003,-2.4353136199639964,-20.434333333333335,1333.7200000005032
209,ON,TIMMINS,6078286,1955,4,2017,12,48.57,-81.38,295,Y,7.961569870718646,25.376666666666665,-4.223548713232522,-24.348999999999997,1201.6533333333332
210,ON,TORONTO,6158355,1840,3,2017,12,43.67,-79.4,113,Y,13.104562943317358,27.074333333333332,5.918715529317534,-7.532,2807.0899999999997
211,ON,VINELAND,6139148,1924,10,2017,12,43.18,-79.68,79,Y,13.484654237870958,27.575666666666667,5.119532278115575,-7.636333333333335,2551.1300000008
212,ON,WAWA,6059407,1940,3,2016,6,47.97,-84.78,287,Y,7.833603119774826,22.203,-3.48569914527826,-22.220666666666666,1126.13
213,ON,WELLAND,6139449,1872,10,2017,12,43.0,-79.27,175,Y,,,,,
214,ON,WINDSOR,6139527,1940,8,2017,12,42.27,-82.97,190,Y,14.423137784764329,28.795333333333335,5.880828430271726,-7.384666666666667,2803.45
215,ON,WOODSTOCK,6149625,1871,11,2017,12,43.13,-80.77,282,N,,,,,
216,QC,AMOS,709CEE9,1913,6,2017,8,48.57,-78.13,305,Y,,,,,
217,QC,BAGOTVILLE,7060400,1880,11,2017,12,48.33,-71.0,159,Y,8.281390049155375,25.29733333333333,-1.8335942311051228,-20.811666666666667,1528.4133333333336
218,QC,BEAUCEVILLE,7027283,1913,8,2017,8,46.15,-70.7,168,Y,10.551493704250243,26.078333333333333,-1.3763388672361279,-19.62833333333333,1509.3600000003667
219,QC,BROME,7020840,1890,9,2014,7,45.18,-72.57,206,N,11.140936856212544,26.176666666666666,-0.29415130047994664,-17.56,1676.2266666666667
220,QC,CAUSAPSCAL,7051200,1913,11,2017,8,48.37,-67.23,168,N,,,,,
221,QC,CHELSEA,7031360,1927,9,2017,8,45.52,-75.78,113,N,,,,,
222,QC,CHIBOUGAMAU,7091404,1914,7,2016,11,49.77,-74.53,387,Y,,,,,
223,QC,DONNACONA,7011982,1918,7,2017,8,46.68,-71.73,15,Y,10.256351193941804,25.676666666666666,,,
224,QC,DRUMMONDVILLE,7022160,1913,11,2017,8,45.88,-72.48,82,N,11.086771824900579,26.611666666666668,1.622123536068351,-15.863333333333335,2110.8599999999997
225,QC,GASPE,7052601,1916,1,2017,12,48.78,-64.48,33,Y,8.914939910041303,23.897999999999993,-1.5669294738123614,-17.30366666666667,1293.2133333333334
226,QC,ILES MADELEINE,7053250,1933,9,2017,11,47.42,-61.78,11,Y,,,,,
227,QC,INUKJUAK,710S005,1921,11,2017,12,58.47,-78.08,25,Y,,,,,
228,QC,JOLIETTE,7013362,1914,1,2011,4,46.02,-73.43,56,Y,11.30420667571689,27.211666666666666,,,
229,QC,KUUJJUAQ,7113535,1947,3,2017,12,58.1,-68.42,39,Y,-0.3711726034526394,17.457,-8.768054367869324,-29.895000000000003,661.2700000000001
230,QC,KUUJJUARAPIK,7103536,1925,10,2014,4,55.28,-77.75,10,N,0.7207243054152175,18.101666666666667,-7.27695998622577,-28.295,799.9266666666665
231,QC,LA POCATIERE,7054096,1913,10,2017,12,47.35,-70.03,31,Y,,,,,
232,QC,LA TUQUE,707DBD4,1911,9,2017,12,47.4,-72.78,169,Y,9.711763032012097,26.26633333333333,-2.5969254806500888,-22.842333333333336,1412.2400000017901
233,QC,LENNOXVILLE,7024280,1915,1,2017,12,45.37,-71.82,181,N,,,,,
234,QC,LES CEDRES,7014290,1913,2,2017,8,45.3,-74.05,47,N,,,,,
235,QC,MANIWAKI,7034482,1914,6,2017,12,46.3,-76.0,200,Y,10.281652459932479,26.153666666666663,-1.6356190376723923,-19.997333333333334,1472.47000000231
236,QC,MONT JOLI,7055121,1875,10,2017,12,48.6,-68.2,52,Y,8.008365271851684,23.299666666666667,-0.048156199316316144,-15.573666666666666,1599.353333333333
237,QC,MONT LAURIER,7035160,1920,7,2014,6,46.57,-75.55,244,Y,,,,,
238,QC,MONTREAL TAVISH,7024740,1871,7,2017,12,45.47,-73.75,73,Y,,,,,
239,QC,NATASHQUAN,7045401,1914,10,2017,12,50.18,-61.82,11,Y,6.040440441658635,19.067666666666664,-2.937719511954989,-20.052666666666664,1140.9333333333336
240,QC,NICOLET,7025440,1913,11,2017,8,46.2,-72.62,30,N,10.236253076057725,25.94966666666667,0.059978369305524956,-18.139999999999997,1767.5766666675665
241,QC,NORMANDIN,7065639,1936,7,2017,12,48.85,-72.53,137,Y,,,,,
242,QC,PARENT,7075800,1943,7,2017,12,47.92,-74.62,445,Y,,,,,
243,QC,QUEBEC,701S001,1875,8,2017,12,46.8,-71.38,74,Y,9.54595512687413,25.518000000000008,0.6794372015535883,-16.70633333333333,1888.113333334423
244,QC,ROBERVAL,7066686,1914,1,2017,12,48.52,-72.27,179,Y,7.878645008358911,24.512999999999998,-1.5978747963724014,-20.959000000000003,1634.1266666672932
245,QC,SCHEFFERVILLE,7117827,1948,8,2017,12,54.8,-66.82,522,Y,,,,,
246,QC,SEPT-ILES,7047914,1944,9,2017,12,50.22,-66.27,53,Y,5.870103167801787,19.690666666666672,-3.59202712031447,-21.500333333333334,1096.503333333333
247,QC,SHEENBOROUGH,7038080,1915,7,2017,12,45.95,-77.32,137,Y,,,,,
248,QC,ST JEROME,7037400,1932,5,2017,8,45.8,-74.05,170,N,10.701228642927456,26.185,0.48830852986846174,-17.13,1847.78333333381
249,QC,TADOUSSAC,7042840,1913,11,2015,11,48.15,-69.7,70,Y,,,,,
250,QC,TEMISCAMINGUE,7080468,1910,4,2017,12,46.72,-79.1,181,N,,,,,
251,QC,TETE BALEINE,7041382,1911,8,2017,12,50.7,-59.32,9,Y,,,,,
252,QC,THETFORD MINES,7028441,1922,2,2016,7,46.1,-71.35,381,Y,,,,,
253,QC,VAL D'OR,7098603,1951,7,2017,12,48.05,-77.78,337,Y,7.619033903426337,24.74766666666667,-3.20130567555039,-23.585333333333335,1398.2600000016464
254,NB,AROOSTOOK,8100300,1914,3,2017,12,46.8,-67.72,91,Y,,,,,
255,NB,BATHURST,8100505,1922,1,2017,12,47.63,-65.75,59,Y,,,,,
256,NB,CHATHAM MIRA.,8100989,1873,1,2017,12,47.02,-65.47,33,Y,10.666082711866492,26.085333333333335,-0.49104305977323803,-16.959666666666667,1564.1333333333334
257,NB,EDMUNDSTON,8101303,1918,6,2017,12,47.33,-68.18,163,Y,,,,,
258,NB,FREDERICTON,8101505,1871,12,2017,12,45.87,-66.53,21,Y,11.435340715756086,26.306,0.7036471353084873,-14.820666666666666,1747.27
259,NB,MONCTON,8103201,1898,5,2017,12,46.1,-64.68,71,Y,10.76421584411546,25.392000000000007,0.8407958606879558,-13.948333333333334,1715.3500000000006
260,NB,SAINT JOHN,8104901,1871,1,2017,12,45.32,-65.88,109,Y,10.434317463882028,23.05133333333334,0.3135983232274302,-14.555333333333332,1548.77
261,NB,WOODSTOCK,8105600,1914,3,2017,12,46.17,-67.55,153,N,,,,,
262,NS,COLLEGEVILLE,8201000,1916,6,2014,6,45.48,-62.02,76,N,,,,,
263,NS,DEMING,8201410,1913,12,2011,12,45.22,-61.18,16,Y,,,,,
264,NS,GREENWOOD,8202000,1942,11,2017,12,44.98,-64.92,28,N,12.64593717094593,26.326333333333334,2.5098883399456042,-10.478333333333332,1928.0166666666664
265,NS,HALIFAX,8202251,1871,4,2017,12,44.65,-63.58,145,Y,11.22305476839555,23.252333333333336,3.1649874002884895,-9.352333333333332,2019.2466666674068
266,NS,KENTVILLE,8202810,1913,4,2017,12,45.07,-64.48,49,Y,,,,,
267,NS,LIVERPOOL,8203100,1940,1,2012,10,44.13,-64.93,50,N,,,,,
268,NS,NAPPAN,8203702,1913,10,2017,12,45.77,-64.25,20,Y,11.181345214993929,24.497666666666667,1.2141310602027837,-13.224000000000002,1735.59
269,NS,PARRSBORO,8204402,1897,2,2017,12,45.4,-64.33,24,Y,,,,,
270,NS,SABLE ISLAND,8204700,1897,10,2017,10,43.93,-60.02,5,N,,,,,
271,NS,SYDNEY,8205701,1870,1,2017,12,46.17,-60.05,62,Y,10.392226738528334,23.778666666666666,2.0646759487985626,-10.223666666666668,1749.4166666666667
272,NS,UPPER STEWIACKE,8204193,1915,11,2017,12,45.22,-63.0,24,Y,,,,,
273,NS,YARMOUTH,8206495,1879,8,2017,12,43.83,-66.08,43,Y,11.111863238266336,21.317333333333337,3.759460388751653,-7.116000000000001,2013.103333333333
274,PE,CHARLOTTETOWN,8300301,1872,11,2017,12,46.28,-63.13,49,Y,10.006330151854378,23.76833333333333,1.9868272223186783,-12.036666666666665,1912.1566666666663
